Date,Period,AMZN,NFLX
1/2/2020,1,94.90049744,329.8099976
1/3/2020,2,93.74849701,325.8999939
1/6/2020,3,95.14399719,335.8299866
1/7/2020,4,95.34300232,330.75
1/8/2020,5,94.59850311,339.2600098
1/9/2020,6,95.05249786,335.6600037
1/10/2020,7,94.15799713,329.0499878
1/13/2020,8,94.56500244,338.9200134
1/14/2020,9,93.47200012,338.6900024
1/15/2020,10,93.10099792,339.0700073
1/16/2020,11,93.89700317,338.6199951
1/17/2020,12,93.23600006,339.6700134
1/21/2020,13,94.59999847,338.1099854
1/22/2020,14,94.3730011,326
1/23/2020,15,94.22899628,349.6000061
1/24/2020,16,93.08200073,353.1600037
1/27/2020,17,91.41699982,342.8800049
1/28/2020,18,92.66249847,348.519989
1/29/2020,19,92.90000153,343.1600037
1/30/2020,20,93.53399658,347.7399902
1/31/2020,21,100.435997,345.0899963
2/3/2020,22,100.2099991,358
2/4/2020,23,102.4834976,369.0100098
2/5/2020,24,101.9934998,369.6700134
2/6/2020,25,102.5114975,366.9500122
2/7/2020,26,103.9639969,366.769989
2/10/2020,27,106.6955032,371.0700073
2/11/2020,28,107.5400009,373.6900024
2/12/2020,29,108,380.0100098
2/13/2020,30,107.4934998,381.3999939
2/14/2020,31,106.7434998,380.3999939
2/18/2020,32,107.7835007,387.7799988
2/19/2020,33,108.5110016,386.1900024
2/20/2020,34,107.6549988,386
2/21/2020,35,104.7985001,380.0700073
2/24/2020,36,100.4645004,368.7000122
2/25/2020,37,98.63700104,360.0899963
2/26/2020,38,98.97949982,379.2399902
2/27/2020,39,94.21499634,371.7099915
2/28/2020,40,94.1875,369.0299988
3/2/2020,41,97.69750214,381.0499878
3/3/2020,42,95.44950104,368.769989
3/4/2020,43,98.79149628,383.7900085
3/5/2020,44,96.20149994,372.7799988
3/6/2020,45,95.05449677,368.9700012
3/9/2020,46,90.03050232,346.4899902
3/10/2020,47,94.59100342,364.1300049
3/11/2020,48,91.04299927,349.9200134
3/12/2020,49,83.83049774,315.25
3/13/2020,50,89.25,336.2999878
3/16/2020,51,84.45749664,298.8399963
3/17/2020,52,90.39199829,319.75
3/18/2020,53,91.5,315.4700012
3/19/2020,54,94.04650116,332.0299988
3/20/2020,55,92.30449677,332.8299866
3/23/2020,56,95.14150238,360.269989
3/24/2020,57,97.00499725,357.3200073
3/25/2020,58,94.29199982,342.3900146
3/26/2020,59,97.77449799,362.9899902
3/27/2020,60,95.00499725,357.1199951
3/30/2020,61,98.19750214,370.9599915
3/31/2020,62,97.48600006,375.5
4/1/2020,63,95.38500214,364.0799866
4/2/2020,64,95.9414978,370.0799866
4/3/2020,65,95.32949829,361.7600098
4/6/2020,66,99.87950134,379.9599915
4/7/2020,67,100.5800018,372.2799988
4/8/2020,68,102.1500015,371.1199951
4/9/2020,69,102.1380005,370.7200012
4/13/2020,70,108.4434967,396.7200012
4/14/2020,71,114.1660004,413.5499878
4/15/2020,72,115.3840027,426.75
4/16/2020,73,120.4095001,439.1700134
4/17/2020,74,118.75,422.9599915
4/20/2020,75,119.6804962,437.4899902
4/21/2020,76,116.4059982,433.8299866
4/22/2020,77,118.1744995,421.4200134
4/23/2020,78,119.9725037,426.7000122
4/24/2020,79,120.5110016,424.9899902
4/27/2020,80,118.8000031,421.3800049
4/28/2020,81,115.7040024,403.8299866
4/29/2020,82,118.635498,411.8900146
4/30/2020,83,123.6999969,419.8500061
5/1/2020,84,114.302002,415.269989
5/4/2020,85,115.7994995,428.1499939
5/5/2020,86,115.8899994,424.6799927
5/6/2020,87,117.5630035,434.2600098
5/7/2020,88,118.3805008,436.5299988
5/8/2020,89,118.9804993,435.5499878
5/11/2020,90,120.4499969,440.519989
5/12/2020,91,117.8475037,431.8200073
5/13/2020,92,118.3960037,438.269989
5/14/2020,93,119.4424973,441.9500122
5/15/2020,94,120.4889984,454.1900024
5/18/2020,95,121.3130035,452.5799866
5/19/2020,96,122.4664993,451.0400085
5/20/2020,97,124.8970032,447.6700134
5/21/2020,98,122.336998,436.25
5/22/2020,99,121.8440018,429.3200073
5/26/2020,100,121.0930023,414.769989
5/27/2020,101,120.5195007,419.8900146
5/28/2020,102,120.0550003,413.4400024
5/29/2020,103,122.1184998,419.730011
6/1/2020,104,123.552002,425.9200134
6/2/2020,105,123.6204987,427.3099976
6/3/2020,106,123.9199982,421.9700012
6/4/2020,107,123.0299988,414.3299866
6/5/2020,108,124.1500015,419.6000061
6/8/2020,109,126.2030029,419.4899902
6/9/2020,110,130.0429993,434.0499878
6/10/2020,111,132.3724976,434.480011
6/11/2020,112,127.8980026,425.5599976
6/12/2020,113,127.2509995,418.0700073
6/15/2020,114,128.6340027,425.5
