"Subtotal","Shipping","Taxes","Total","Discount Amount","Lineitem quantity","Lineitem price","Refunded Amount","Outstanding Balance","Lineitem discount"
34.25,0,1.9,36.15,0,1,11.5,0,0,0
28,0,1.54,29.54,0,1,28,0,0,0
10.75,0,0.59,11.34,5,1,15.75,0,0,0
11,0,0.61,11.61,0,1,11,0,0,0
3.5,0,0.2,3.7,0,1,3.5,0,0,0
6,0,0.33,6.33,0,2,3,0,0,0
25.5,0,1.41,26.91,4.5,1,10,0,0,0
18.25,0,1.01,19.26,0,1,8.25,0,0,0
140,0,7.71,147.71,0,1,7,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
14.95,0,0.83,15.78,0,1,9.95,0,0,0
106,0,5.85,111.85,0,1,40,0,0,0
6.5,0,0.36,6.86,0,1,6.5,0,0,0
99.24,0,5.45,104.69,0,1,40.99,0,0,0
13.25,7.14,0,20.39,0,1,13.25,0,0,0
13.25,7.95,0,21.2,0,1,13.25,0,0,0
13.25,7.96,0,21.21,0,1,13.25,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
44.74,0,2.46,47.2,0,1,18,0,0,0
38.17,0,2.1,40.27,0,1,12.99,0,0,0
18.05,0,1,19.05,0,1,3,0,0,0
22.5,0,1.25,23.75,0,1,4,0,0,0
31.5,0,1.75,33.25,0,1,25,0,0,0
25.5,0,1.41,26.91,0,1,16,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
20.99,0,1.15,22.14,0,1,4,0,0,0
7,0,0.39,7.39,0,1,4,0,0,0
6.5,0,0.37,6.87,0,1,3,0,0,0
9,0,0.5,9.5,0,1,9,0,0,0
26,0,1.43,27.43,0,1,18,0,0,0
29.5,0,1.64,31.14,0,1,14,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
51.49,0,2.83,54.32,0,1,44.99,0,0,0
9.95,0,0.55,10.5,0,1,9.95,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
10,0,0.56,10.56,0,1,4,0,0,0
120,0,6.6,126.6,0,1,120,0,0,0
9,0,0.5,9.5,0,1,4,0,0,0
12,0,0.66,12.66,0,1,4,0,0,0
32,0,1.76,33.76,0,1,32,0,0,0
26.5,0,1.46,27.96,0,1,0.5,0,0,0
57.75,0,3.19,60.94,0,2,8,0,0,0
75,0,4.13,79.13,5,1,10,0,0,0
7,0,0.39,7.39,0,1,7,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
10,0,0.56,10.56,0,1,5,0,0,0
59.49,0,3.27,62.76,0,1,8,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
12,0,0.66,12.66,0,1,4,0,0,0
10.99,0,0.6,11.59,0,1,10.99,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
16,0,0.88,16.88,0,4,4,0,0,0
182.95,0,10.05,193,0,2,36.99,0,0,0
33.98,0,1.87,35.85,0,1,12,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
35.25,0,1.94,37.19,0,1,12,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
24.24,0,1.33,25.57,0,1,6.25,0,0,0
4,0,0.22,4.22,0,1,4,0,0,0
16,0,0.88,16.88,0,1,12,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
6.5,0,0.37,6.87,0,1,3,0,0,0
10.49,0,0.58,11.07,0,1,6.99,0,0,0
31,0,1.71,32.71,0,1,5,0,0,0
46.48,0,2.56,49.04,0,1,27.99,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
33,0,1.82,34.82,0,1,33,0,0,0
36,0,1.98,37.98,0,1,20,0,0,0
17.5,0,0.98,18.48,0,1,3.5,0,0,0
57.99,0,3.19,61.18,0,1,3,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
34,0,1.87,35.87,0,1,34,0,0,0
53,0,2.92,55.92,0,1,48,0,0,0
27.75,0,1.53,29.28,0,1,11,0,0,0
8,0,0.45,8.45,0,1,5,0,0,0
68,0,3.74,71.74,0,1,68,0,0,0
41.99,0,2.31,44.3,0,1,24.99,0,0,0
14,0,0.77,14.77,0,2,7,0,0,0
16,0,0.88,16.88,0,1,16,0,0,0
15.6,0,0.85,16.45,0,1,6.25,0,0,0
1,0,0.06,1.06,0,1,0.5,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
24.99,0,1.37,26.36,0,1,24.99,0,0,0
27.5,0,1.53,29.03,0,2,3,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
43.98,0,2.42,46.4,0,1,19.99,0,0,0
30,0,1.65,31.65,0,8,1,0,0,0
29.99,0,1.65,31.64,0,1,24.99,0,0,0
36,0,1.98,37.98,0,1,18,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
6,0,0.33,6.33,0,1,6,0,0,0
52,0,2.86,54.86,0,1,26,0,0,0
25.98,7.15,0,33.13,0,2,12.99,0,0,0
9,0,0.5,9.5,0,1,9,0,0,0
0,0,0,0,5,1,5,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
9.95,7.95,0,17.9,0,1,9.95,0,0,0
20.35,0,1.12,21.47,19.65,1,16,0,0,7.2
41,0,2.26,43.26,0,1,37,0,0,0
45.98,0,2.52,48.5,0,1,4.99,0,0,0
7,0,0.39,7.39,0,1,7,0,0,0
18,0,1,19,0,1,11,0,0,0
10.99,0,0.6,11.59,0,1,10.99,0,0,0
102.5,0,5.66,108.16,0,1,5,0,0,0
37.4,0,2.07,39.47,0,1,18,0,0,0
21,0,1.16,22.16,0,2,0.5,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
60,0,0,60,0,1,27,0,0,0
27,0,1.49,28.49,0,1,27,0,0,0
40,0,2.2,42.2,0,1,40,0,0,0
24,0,1.32,25.32,0,1,8,0,0,0
25,0,1.39,26.39,0,1,5,0,0,0
10,0,0.56,10.56,0,1,5,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
14,0,0.77,14.77,0,1,14,0,0,0
9.95,0,0.55,10.5,0,1,9.95,0,0,0
11.99,0,0.66,12.65,0,1,11.99,0,0,0
48,7.95,0,55.95,0,1,48,0,0,0
11,0,0.61,11.61,5,1,16,0,0,0
27,0,1.49,28.49,0,1,27,0,0,0
12.5,0,0.7,13.2,0,1,5,0,0,0
9,0,0.5,9.5,0,1,9,0,0,0
26,0,1.43,27.43,0,1,26,0,0,0
9.95,0,0.55,10.5,0,1,9.95,0,0,0
13.25,7.14,0,20.39,0,1,13.25,0,0,0
16,0,0.88,16.88,0,1,16,0,0,0
40.24,0,2.21,42.45,0,1,8.25,0,0,0
8.5,0,0.48,8.98,0,1,1.75,0,0,0
12.99,9.24,0,22.23,0,1,12.99,0,0,0
42.18,0,2.33,44.51,0,1,1.69,0,0,0
0,0,0,0,5,1,5,0,0,0
34.99,0,1.93,36.92,0,1,12.99,0,0,0
16,0,0.88,16.88,0,1,12,0,0,0
11,0,0.61,11.61,0,1,11,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
4.19,0,0.23,4.42,0,1,2.5,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
111.75,0,6.16,117.91,0,1,6.25,0,0,0
56.99,0,3.13,60.12,0,1,56.99,0,0,0
2.77,0,0.15,2.92,0.48,1,3.25,0,0,0
4,0,0.22,4.22,0,1,4,0,0,0
16,0,0.88,16.88,0,1,16,0,0,0
12,0,0.67,12.67,0,1,3,0,0,0
17.95,7.96,0,25.91,0,1,17.95,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
8.25,0,0.46,8.71,0,1,5,0,0,0
13,0,0.73,13.73,0,1,11,0,0,0
14.99,0,0.82,15.81,0,1,14.99,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
2.5,0,0.14,2.64,0,1,2.5,0,0,0
6.5,0,0.36,6.86,0,1,2.5,0,0,0
39,0,2.15,41.15,0,1,10,0,0,0
26.9,0,1.49,28.39,0,1,8,0,0,0
20,0,1.11,21.11,0,1,5,0,0,0
30,0,1.65,31.65,0,1,30,0,0,0
29.99,0,1.65,31.64,0,1,29.99,0,0,0
11.5,0,0.64,12.14,0,1,7,0,0,0
32.74,0,1.8,34.54,0,1,5,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
29.99,0,1.65,31.64,0,1,29.99,0,0,0
24,0,1.32,25.32,0,2,12,0,0,0
49,0,2.72,51.72,0,1,5,0,0,0
40.75,0,2.26,43.01,0,1,5,0,0,0
12,0,0.67,12.67,0,2,3.5,0,0,0
23,0,1.27,24.27,0,1,8,0,0,0
33,0,1.82,34.82,0,1,5,0,0,0
9,0,0.5,9.5,0,1,4,0,0,0
29.5,0,1.64,31.14,0,1,16,0,0,0
35,0,1.94,36.94,2.85,1,9.95,0,0,0.95
4,0,0.22,4.22,0,1,4,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
35,0,1.93,36.93,0,1,35,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
93,0,5.12,98.12,0,1,12,0,0,0
12,0,0.66,12.66,0,1,8,0,0,0
30.99,0,1.7,32.69,0,1,16.99,0,0,0
21.49,0,1.18,22.67,0,1,20,0,0,0
71.99,0,3.96,75.95,0,1,59,0,0,0
4.45,0,0.25,4.7,0,1,0.95,0,0,0
35,0,1.93,36.93,5,1,28,0,0,0
42,0,2.31,44.31,0,1,12,0,0,0
22.49,0,1.24,23.73,0,1,12.99,0,0,0
8,7.19,0,15.19,0,1,8,0,0,0
23,0,1.27,24.27,0,1,20,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
25,0,1.38,26.38,0,1,25,0,0,0
3.8,0,0.21,4.01,0,4,0.95,0,0,0
38.98,0,2.14,41.12,0,1,13.99,0,0,0
10,0,0.56,10.56,0,1,3,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
13.69,0,0.75,14.44,0,1,1.69,0,0,0
25.69,0,1.41,27.1,0,1,1.69,0,0,0
40,0,2.2,42.2,0,1,28,0,0,0
23,0,1.27,24.27,0,2,11.5,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
94.49,0,5.21,99.7,0,1,12,0,0,0
27.5,0,1.52,29.02,0,1,3,0,0,0
129.99,0,7.18,137.17,5,1,44.99,0,0,0
61.97,0,3.41,65.38,0,1,10.99,0,0,0
18.99,0,1.05,20.04,0,1,5,0,0,0
27,0,1.49,28.49,0,1,22,0,0,0
45.99,0,2.53,48.52,0,1,16,0,0,0
56.48,0,3.11,59.59,0,1,10,0,0,0
6.5,0,0.36,6.86,0,1,6.5,0,0,0
12,0,0.67,12.67,0,1,8,0,0,0
45,0,2.48,47.48,0,1,9,0,0,0
76.98,0,4.23,81.21,0,1,10.99,0,0,0
65.94,0,3.62,69.56,0,1,10,0,0,0
2,0,0.11,2.11,0,2,1,0,0,0
3.25,0,0.18,3.43,0,1,3.25,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
60,0,3.3,63.3,0,1,12,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
21,0,1.16,22.16,5,1,26,0,0,0
5,0,0.28,5.28,0,5,1,0,0,0
20,0,1.1,21.1,5,1,25,0,0,0
6,0,0.33,6.33,0,6,1,0,0,0
42.99,0,2.39,45.38,0.26,1,1,0,0,0
1.75,0,0.1,1.85,0,1,1.75,0,0,0
2,0,0,2,0,2,1,0,0,0
5,0,0.28,5.28,0,5,1,0,0,0
10.99,0,0.6,11.59,0,1,10.99,0,0,0
28,0,1.54,29.54,0,1,28,0,0,0
4.5,0,0.25,4.75,0,2,1,0,0,0
47.99,0,2.64,50.63,0,1,47.99,0,0,0
3.75,0,0.21,3.96,0,1,3.75,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
20.99,0,1.15,22.14,0,1,20.99,0,0,0
6.88,0,0.38,7.26,0,1,3.5,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
1.69,0,0.09,1.78,0,1,1.69,0,0,0
32,0,1.77,33.77,0,1,4,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
26.99,0,1.48,28.47,0,1,26.99,0,0,0
26,0,1.43,27.43,0,1,26,0,0,0
26,0,1.43,27.43,0,1,26,0,0,0
64.99,0,3.57,68.56,0,1,52,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
35,0,1.93,36.93,0,1,35,0,0,0
48.25,0,2.66,50.91,5,1,8,0,0,0
15,0,0.83,15.83,0,1,7,0,0,0
38,0,2.09,40.09,0,1,12,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
11.5,0,0.64,12.14,0,1,11.5,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
96,0,5.28,101.28,0,1,52,0,0,0
24,0,1.32,25.32,0,1,24,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
26,0,1.43,27.43,0,1,26,0,0,0
93.99,0,5.16,99.15,5,1,5,0,0,0
79,0,4.35,83.35,0,1,32,0,0,0
2.68,0,0.14,2.82,0,1,1.69,0,0,0
37,0,2.03,39.03,5,2,5,0,0,0
7,0,0.39,7.39,0,1,4,0,0,0
4,0,0.22,4.22,0,1,4,0,0,0
103.5,0,5.7,109.2,5,1,18,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
2,0,0.12,2.12,0,1,1,0,0,0
4,0,0.23,4.23,0,1,1,0,0,0
0.5,0,0.03,0.53,0,1,0.5,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
69,0,1.6,70.6,0,1,24,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
36,0,1.98,37.98,0,1,36,0,0,0
54.98,0,3.02,58,0,1,33.99,0,0,0
13.75,0,0.75,14.5,5,1,6.75,0,0,0
9,0,0.5,9.5,0,1,9,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
71.94,0,3.96,75.9,0,1,12,0,0,0
17.95,6.99,0,24.94,0,1,17.95,0,0,0
20.99,0,1.15,22.14,0,1,8,0,0,0
52,0,2.86,54.86,0,1,4,0,0,0
65,0,3.58,68.58,0,1,36,0,0,0
2.5,0,0.14,2.64,0,1,2.5,0,0,0
120,0,6.6,126.6,0,1,120,0,0,0
36.99,0,2.03,39.02,0,1,4.99,0,0,0
25,0,1.38,26.38,0,1,25,0,0,0
15,0,0.83,15.83,0,1,15,0,0,0
30,0,1.65,31.65,0,2,15,0,0,0
133,0,7.32,140.32,21.99,1,21.99,0,0,21.99
54,0,2.98,56.98,0,1,5,0,0,0
382.49,0,21.04,403.53,0,1,12,0,0,0
22,0,1.22,23.22,0,1,12,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
31.9,0,1.76,33.66,0,3,10,0,0,0
10,0,0.55,10.55,0,1,10,0,0,0
37.25,0,2.06,39.31,0,2,11,0,0,0
17.95,7.14,0,25.09,0,1,17.95,0,0,0
68.5,0,3.79,72.29,0,1,12,0,0,0
70,0,3.87,73.87,0,1,15,0,0,0
52.48,0,2.92,55.4,9.26,1,11,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
50,0,2.75,52.75,0,2,5,0,0,0
73,0,4.02,77.02,0,1,3,0,0,0
353.5,0,19.46,372.96,0,1,5,0,0,0
38.24,0,2.12,40.36,0,1,15.25,0,0,0
61.99,0,3.41,65.4,0,1,24,0,0,0
20,0,1.1,21.1,0,1,4,0,0,0
53,0,2.92,55.92,0,2,12,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
25,0,1.38,26.38,0,1,20,0,0,0
27.95,0,1.54,29.49,0,1,10,0,0,0
0.85,0,0.04,0.89,0.14,1,0.99,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
6.25,0,0.34,6.59,0,1,6.25,0,0,0
10.99,0,0.6,11.59,0,1,10.99,0,0,0
54,0,2.97,56.97,0,1,18,0,0,0
23.49,0,1.3,24.79,0,1,14.99,0,0,0
36.99,0,2.03,39.02,0,1,36.99,0,0,0
8.5,0,0.47,8.97,0,1,4,0,0,0
49,0,2.7,51.7,0,1,28,0,0,0
126.99,0,7,133.99,0,1,25.99,0,0,0
36.99,0,2.03,39.02,0,1,36.99,0,0,0
19,0,1.05,20.05,5,1,24,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
15.5,0,0.86,16.36,0,1,3.5,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
36,0,1.98,37.98,0,1,36,0,0,0
39.95,0,2.2,42.15,0,2,11,0,0,0
27.45,0,1.53,28.98,0,1,3,0,0,0
12,0,0.66,12.66,0,1,12,0,0,0
19.99,0,1.1,21.09,0,1,19.99,0,0,0
7.65,0,0.42,8.07,1.35,1,9,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
30.99,0,1.7,32.69,0,1,18.99,0,0,0
2.85,0,0.15,3,0,3,0.95,0,0,0
9,0,0.5,9.5,0,1,9,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
22.99,0,1.27,24.26,0,1,21.99,0,0,0
392.5,0,21.59,414.09,0,5,16,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
1,0,0.06,1.06,0,1,1,0,0,0
43,0,2.37,45.37,0,1,24,0,0,0
32.98,0,1.82,34.8,0,1,5,0,0,0
50,0,2.76,52.76,0,1,15,0,0,0
32,0,1.76,33.76,0,1,32,0,0,0
5.5,0,0.31,5.81,0,1,5.5,0,0,0
9,7.95,0,16.95,0,1,9,0,0,0
4.5,0,0.25,4.75,0,1,4.5,0,0,0
14.99,0,0.82,15.81,0,1,14.99,0,0,0
27,0,1.5,28.5,0,1,12,0,0,0
13,0,0.72,13.72,0,1,13,0,0,0
66,0,3.63,69.63,0,1,26,0,0,0
0.99,0,0.05,1.04,0,1,0.99,0,0,0
32,0,1.76,33.76,0,2,16,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
42,24,3.63,69.63,0,6,7,0,0,0
80.74,0,4.44,85.18,0,1,52,0,0,0
77.97,0,4.28,82.25,5,2,18.99,0,0,0
3,0,0.17,3.17,0,1,3,0,0,0
60,0,3.31,63.31,0,1,35,0,0,0
19.98,0,1.1,21.08,0,1,13.99,0,0,0
67.98,0,3.73,71.71,0,2,19,0,0,0
44.25,0,2.43,46.68,0,1,40,0,0,0
45,0,2.48,47.48,0,1,12,0,0,0
5.5,0,0.31,5.81,0,1,4.5,0,0,0
29,0,1.6,30.6,0,1,29,0,0,0
22,0,1.21,23.21,0,1,4,0,0,0
144,0,7.95,151.95,1.9,1,25,0,0,0
18.99,0,1.04,20.03,0,1,18.99,0,0,0
27.25,0,1.51,28.76,0,1,15.75,0,0,0
18,0,0.99,18.99,0,1,18,0,0,0
22,0,1.21,23.21,0,1,22,0,0,0
40,0,2.2,42.2,0,1,20,0,0,0
20.49,0,1.13,21.62,0,1,12.99,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
27.5,0,1.52,29.02,0,1,8.25,0,0,0
23,0,1.27,24.27,0,1,8,0,0,0
13.99,0,0.77,14.76,0,1,12.99,0,0,0
12.99,0,0.71,13.7,0,1,12.99,0,0,0
5,0,0.28,5.28,0,1,5,0,0,0
19,0,1.05,20.05,0,1,16,0,0,0
11.99,0,0.66,12.65,0,1,11.99,0,0,0
20,0,1.1,21.1,0,1,20,0,0,0
24.99,0,1.37,26.36,0,1,24.99,0,0,0
29,0,1.6,30.6,0,1,29,0,0,0
36,0,1.99,37.99,1.9,1,9.95,0,0,0.95
14,0,0.77,14.77,0,2,4,0,0,0
86,0,4.75,90.75,0,1,45,0,0,0
13,0,0.72,13.72,5,1,7,0,0,0
34.99,0,1.92,36.91,0,1,18.99,0,0,0
8,0,0.44,8.44,0,1,8,0,0,0
