Three-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
010,1975,.,100.00,23.16,21.64,
010,1976,7.43,107.43,24.88,23.25,
010,1977,7.00,114.95,26.62,24.87,
010,1978,7.37,123.42,28.58,26.71,
010,1979,16.42,143.69,33.28,31.09,
010,1980,12.22,161.25,37.34,34.89,
010,1981,7.08,172.66,39.99,37.36,
010,1982,11.73,192.91,44.68,41.74,
010,1983,6.76,205.95,47.69,44.56,
010,1984,15.45,237.77,55.07,51.45,
010,1985,12.12,266.59,61.74,57.69,
010,1986,14.71,305.81,70.82,66.17,
010,1987,21.55,371.71,86.08,80.43,
010,1988,15.58,429.61,99.49,92.96,
010,1989,2.59,440.73,102.07,95.37,
010,1990,-2.03,431.80,100.00,93.44,
010,1991,-3.33,417.42,96.67,90.32,
010,1992,-2.02,409.01,94.72,88.50,
010,1993,-1.42,403.18,93.37,87.24,
010,1994,-1.32,397.87,92.14,86.09,
010,1995,-0.56,395.66,91.63,85.62,
010,1996,1.64,402.16,93.13,87.02,
010,1997,1.26,407.24,94.31,88.12,
010,1998,2.68,418.14,96.84,90.48,
010,1999,3.43,432.46,100.15,93.58,
010,2000,6.86,462.13,107.02,100.00,
010,2001,6.45,491.96,113.93,106.45,
010,2002,8.81,535.29,123.97,115.83,
010,2003,7.58,575.87,133.36,124.61,
010,2004,12.89,650.08,150.55,140.67,
010,2005,12.85,733.63,169.90,158.75,
010,2006,4.76,768.56,177.99,166.31,
010,2007,0.57,772.91,179.00,167.25,
010,2008,-3.05,749.30,173.53,162.14,
010,2009,-4.25,717.44,166.15,155.25,
010,2010,-2.11,702.28,162.64,151.97,
010,2011,-2.75,682.95,158.16,147.78,
010,2012,-2.09,668.66,154.85,144.69,
010,2013,-0.04,668.42,154.80,144.64,
010,2014,1.05,675.41,156.42,146.15,
010,2015,1.84,687.83,159.29,148.84,
010,2016,1.94,701.15,162.38,151.72,
010,2017,2.83,721.00,166.97,156.01,
010,2018,4.41,752.78,174.33,162.89,
010,2019,3.33,777.84,180.14,168.31,
010,2020,4.67,814.16,188.55,176.17,
011,1975,.,100.00,19.46,20.73,
011,1976,20.59,120.59,23.47,25.00,
011,1977,0.97,121.76,23.69,25.25,
011,1978,10.81,134.93,26.26,27.98,
011,1979,16.64,157.38,30.62,32.63,
011,1980,9.66,172.58,33.58,35.78,
011,1981,13.60,196.06,38.15,40.65,
011,1982,9.76,215.19,41.88,44.62,
011,1983,9.83,236.35,45.99,49.00,
011,1984,16.16,274.53,53.42,56.92,
011,1985,17.45,322.43,62.74,66.85,
011,1986,16.20,374.68,72.91,77.69,
011,1987,19.52,447.83,87.14,92.85,
011,1988,13.89,510.03,99.25,105.75,
011,1989,4.46,532.79,103.68,110.47,
011,1990,-3.55,513.90,100.00,106.55,
011,1991,-5.35,486.39,94.65,100.85,
011,1992,-2.97,471.94,91.84,97.85,
011,1993,-4.54,450.52,87.67,93.41,
011,1994,-4.33,431.01,83.87,89.37,
011,1995,-5.84,405.84,78.97,84.15,
011,1996,1.14,410.48,79.88,85.11,
011,1997,0.63,413.05,80.38,85.64,
011,1998,6.44,439.63,85.55,91.15,
011,1999,2.16,449.13,87.40,93.12,
011,2000,7.38,482.30,93.85,100.00,
011,2001,7.64,519.17,101.03,107.64,
011,2002,10.31,572.67,111.44,118.74,
011,2003,7.89,617.83,120.22,128.10,
011,2004,10.69,683.86,133.07,141.79,
011,2005,11.91,765.30,148.92,158.68,
011,2006,5.72,809.05,157.43,167.75,
011,2007,-1.01,800.91,155.85,166.06,
011,2008,-5.41,757.61,147.43,157.08,
011,2009,-5.70,714.45,139.03,148.13,
011,2010,-1.53,703.53,136.90,145.87,
011,2011,-3.39,679.66,132.26,140.92,
011,2012,-3.63,654.99,127.46,135.81,
011,2013,-0.38,652.50,126.97,135.29,
011,2014,1.91,664.97,129.40,137.88,
011,2015,2.42,681.05,132.53,141.21,
011,2016,1.89,693.91,135.03,143.88,
011,2017,5.61,732.84,142.61,151.95,
011,2018,6.90,783.44,152.45,162.44,
011,2019,3.90,813.96,158.39,168.77,
011,2020,5.75,860.80,167.50,178.48,
012,1980,.,100.00,39.33,38.12,
012,1981,13.11,113.11,44.49,43.11,
012,1982,-2.01,110.84,43.60,42.25,
012,1983,10.97,123.00,48.38,46.88,
012,1984,24.66,153.33,60.31,58.44,
012,1985,14.92,176.21,69.31,67.17,
012,1986,13.74,200.42,78.83,76.39,
012,1987,12.67,225.80,88.82,86.07,
012,1988,11.28,251.26,98.83,95.77,
012,1989,2.70,258.05,101.50,98.36,
012,1990,-1.48,254.23,100.00,96.90,
012,1991,-6.40,237.96,93.60,90.70,
012,1992,-5.97,223.75,88.01,85.29,
012,1993,-0.15,223.41,87.88,85.16,
012,1994,0.03,223.49,87.91,85.18,
012,1995,0.13,223.77,88.02,85.29,
012,1996,2.20,228.70,89.96,87.17,
012,1997,3.12,235.84,92.76,89.89,
012,1998,0.76,237.63,93.47,90.58,
012,1999,2.75,244.16,96.04,93.07,
012,2000,7.45,262.36,103.20,100.00,
012,2001,7.01,280.75,110.43,107.01,
012,2002,6.41,298.76,117.51,113.87,
012,2003,7.43,320.94,126.24,122.33,
012,2004,10.54,354.77,139.54,135.22,
012,2005,13.21,401.61,157.97,153.08,
012,2006,6.72,428.62,168.59,163.37,
012,2007,1.12,433.43,170.48,165.20,
012,2008,-0.71,430.34,169.27,164.03,
012,2009,-3.32,416.04,163.65,158.58,
012,2010,-2.64,405.04,159.32,154.39,
012,2011,-2.19,396.16,155.82,151.00,
012,2012,-2.32,386.97,152.21,147.50,
012,2013,-0.32,385.72,151.72,147.02,
012,2014,-0.67,383.13,150.70,146.03,
012,2015,0.74,385.98,151.82,147.12,
012,2016,0.98,389.76,153.31,148.56,
012,2017,1.13,394.15,155.03,150.23,
012,2018,6.23,418.72,164.70,159.60,
012,2019,1.64,425.60,167.40,162.22,
012,2020,4.10,443.04,174.27,168.87,
013,1985,.,100.00,60.43,55.09,
013,1986,16.78,116.78,70.57,64.33,
013,1987,22.70,143.30,86.59,78.94,
013,1988,14.04,163.42,98.75,90.02,
013,1989,4.95,171.51,103.64,94.48,
013,1990,-3.51,165.48,100.00,91.16,
013,1991,-4.58,157.90,95.42,86.99,
013,1992,-2.71,153.63,92.84,84.63,
013,1993,-2.95,149.10,90.10,82.13,
013,1994,-1.28,147.18,88.94,81.08,
013,1995,0.18,147.44,89.10,81.22,
013,1996,0.91,148.78,89.91,81.96,
013,1997,1.31,150.73,91.08,83.03,
013,1998,5.37,158.82,95.98,87.49,
013,1999,1.89,161.83,97.79,89.15,
013,2000,12.17,181.53,109.70,100.00,
013,2001,4.88,190.38,115.05,104.88,
013,2002,9.57,208.60,126.05,114.91,
013,2003,7.51,224.26,135.52,123.54,
013,2004,15.32,258.62,156.29,142.47,
013,2005,12.40,290.70,175.67,160.14,
013,2006,3.57,301.08,181.94,165.86,
013,2007,-1.98,295.11,178.33,162.57,
013,2008,-4.93,280.57,169.55,154.56,
013,2009,-3.44,270.92,163.71,149.24,
013,2010,-2.53,264.07,159.58,145.47,
013,2011,-3.12,255.82,154.59,140.93,
013,2012,-2.73,248.83,150.37,137.08,
013,2013,0.62,250.39,151.31,137.93,
013,2014,1.45,254.03,153.51,139.94,
013,2015,-1.88,249.25,150.62,137.31,
013,2016,4.27,259.89,157.05,143.17,
013,2017,3.47,268.90,162.50,148.13,
013,2018,8.44,291.61,176.22,160.64,
013,2019,-0.09,291.35,176.06,160.50,
013,2020,6.24,309.52,187.04,170.51,
014,1976,.,100.00,25.76,20.13,
014,1977,8.32,108.32,27.90,21.80,
014,1978,12.42,121.78,31.36,24.51,
014,1979,8.27,131.84,33.96,26.54,
014,1980,15.18,151.85,39.11,30.57,
014,1981,12.56,170.93,44.02,34.41,
014,1982,10.08,188.15,48.46,37.87,
014,1983,5.97,199.39,51.36,40.14,
014,1984,20.28,239.83,61.77,48.28,
014,1985,20.42,288.80,74.38,58.13,
014,1986,20.41,347.74,89.56,70.00,
014,1987,11.30,387.02,99.68,77.91,
014,1988,5.60,408.68,105.26,82.27,
014,1989,1.02,412.84,106.33,83.10,
014,1990,-5.95,388.26,100.00,78.16,
014,1991,-5.94,365.18,94.06,73.51,
014,1992,-2.28,356.85,91.91,71.83,
014,1993,-1.68,350.86,90.37,70.63,
014,1994,-1.81,344.53,88.74,69.35,
014,1995,1.29,348.98,89.88,70.25,
014,1996,3.93,362.71,93.42,73.01,
014,1997,3.46,375.26,96.65,75.54,
014,1998,6.28,398.83,102.72,80.28,
014,1999,7.52,428.83,110.45,86.32,
014,2000,15.85,496.78,127.95,100.00,
014,2001,11.48,553.82,142.64,111.48,
014,2002,9.68,607.45,156.45,122.28,
014,2003,7.10,650.57,167.56,130.96,
014,2004,9.72,713.79,183.84,143.68,
014,2005,9.23,779.68,200.81,156.95,
014,2006,1.73,793.19,204.29,159.67,
014,2007,-4.36,758.57,195.37,152.70,
014,2008,-6.46,709.57,182.75,142.83,
014,2009,-7.72,654.78,168.64,131.81,
014,2010,-3.42,632.41,162.88,127.30,
014,2011,-3.46,610.50,157.24,122.89,
014,2012,-3.16,591.18,152.26,119.00,
014,2013,0.48,594.00,152.99,119.57,
014,2014,4.36,619.90,159.66,124.78,
014,2015,2.88,637.74,164.25,128.37,
014,2016,4.73,667.92,172.03,134.45,
014,2017,6.07,708.45,182.47,142.61,
014,2018,5.94,750.50,193.30,151.07,
014,2019,4.34,783.06,201.68,157.63,
014,2020,4.27,816.50,210.30,164.36,
015,1975,.,100.00,24.88,19.36,
015,1976,4.00,104.00,25.88,20.14,
015,1977,8.96,113.32,28.20,21.94,
015,1978,10.50,125.22,31.15,24.24,
