age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,previous,poutcome,Target,age_group
58,4,1,2,0,2143,1,0,2,261,1,0,3,0,8
44,9,2,1,0,29,1,0,2,151,1,0,3,0,5
33,2,1,1,0,2,1,1,2,76,1,0,3,0,3
47,1,1,3,0,1506,1,0,2,92,1,0,3,0,5
33,11,2,3,0,1,0,0,2,198,1,0,3,0,3
35,4,1,2,0,231,1,0,2,139,1,0,3,0,3
28,4,2,2,0,447,1,1,2,217,1,0,3,0,2
42,2,0,2,1,2,1,0,2,380,1,0,3,0,4
58,5,1,0,0,121,1,0,2,50,1,0,3,0,8
43,9,2,1,0,593,1,0,2,55,1,0,3,0,5
41,0,0,1,0,270,1,0,2,222,1,0,3,0,4
29,0,2,1,0,390,1,0,2,137,1,0,3,0,2
53,9,1,1,0,6,1,0,2,517,1,0,3,0,7
58,9,1,3,0,71,1,0,2,71,1,0,3,0,8
57,7,1,1,0,162,1,0,2,174,1,0,3,0,7
51,5,1,0,0,229,1,0,2,353,1,0,3,0,6
45,0,2,3,0,13,1,0,2,98,1,0,3,0,5
57,1,1,0,0,52,1,0,2,38,1,0,3,0,7
60,5,1,0,0,60,1,0,2,219,1,0,3,0,8
33,7,1,1,0,0,1,0,2,54,1,0,3,0,3
28,1,1,1,0,723,1,1,2,262,1,0,3,0,2
56,4,1,2,0,779,1,0,2,164,1,0,3,0,7
32,1,2,0,0,23,1,1,2,160,1,0,3,0,2
25,7,1,1,0,50,1,0,2,342,1,0,3,0,1
40,5,1,0,0,0,1,1,2,181,1,0,3,0,4
44,0,1,1,0,-372,1,0,2,172,1,0,3,0,5
39,4,2,2,0,255,1,0,2,296,1,0,3,0,4
52,2,1,1,0,113,1,1,2,127,1,0,3,0,6
46,4,2,1,0,-246,1,0,2,255,2,0,3,0,5
36,9,2,1,0,265,1,1,2,348,1,0,3,0,3
57,9,1,1,0,839,0,1,2,225,1,0,3,0,7
49,4,1,2,0,378,1,0,2,230,1,0,3,0,6
60,0,1,1,0,39,1,1,2,208,1,0,3,0,8
59,1,1,1,0,0,1,0,2,226,1,0,3,0,8
51,4,1,2,0,10635,1,0,2,336,1,0,3,0,6
57,9,0,1,0,63,1,0,2,242,1,0,3,0,7
25,1,1,1,0,-7,1,0,2,365,1,0,3,0,1
53,9,1,1,0,-3,0,0,2,1666,1,0,3,0,7
36,0,0,1,0,506,1,0,2,577,1,0,3,0,3
37,0,2,1,0,0,1,0,2,137,1,0,3,0,3
44,7,0,1,0,2586,1,0,2,160,1,0,3,0,5
50,4,1,1,0,49,1,0,2,180,2,0,3,0,6
60,1,1,3,0,104,1,0,2,22,1,0,3,0,8
54,5,1,1,0,529,1,0,2,1492,1,0,3,0,7
58,5,1,3,0,96,1,0,2,616,1,0,3,0,8
36,0,2,0,0,-171,1,0,2,242,1,0,3,0,3
58,6,1,2,0,-364,1,0,2,355,1,0,3,0,8
44,9,1,1,0,0,1,0,2,225,2,0,3,0,5
55,9,0,1,0,0,0,0,2,160,1,0,3,0,7
29,4,2,2,0,0,1,0,2,363,1,0,3,0,2
54,1,1,1,0,1291,1,0,2,266,1,0,3,0,7
48,4,0,2,0,-244,1,0,2,253,1,0,3,0,6
32,4,1,2,0,0,1,0,2,179,1,0,3,0,2
42,0,2,1,0,-76,1,0,2,787,1,0,3,0,4
24,9,2,1,0,-103,1,1,2,145,1,0,3,0,1
38,2,2,2,0,243,0,1,2,174,1,0,3,0,4
38,4,2,2,0,424,1,0,2,104,1,0,3,0,4
47,1,1,3,0,306,1,0,2,13,1,0,3,0,5
40,1,2,3,0,24,1,0,2,185,1,0,3,0,4
46,7,1,0,0,179,1,0,2,1778,1,0,3,0,5
32,0,1,2,0,0,1,0,2,138,1,0,3,0,2
53,9,0,1,0,989,1,0,2,812,1,0,3,0,7
57,1,1,0,0,249,1,0,2,164,1,0,3,0,7
33,7,1,1,0,790,1,0,2,391,1,0,3,0,3
49,1,1,3,0,154,1,0,2,357,1,0,3,0,6
51,4,1,2,0,6530,1,0,2,91,1,0,3,0,6
60,5,1,2,0,100,0,0,2,528,1,0,3,0,8
59,4,0,2,0,59,1,0,2,273,1,0,3,0,8
